segment,clients,revenue,mean_purchase_days,median_recency,client_share,revenue_share,revenue_per_client
Активные ценные,44817,225528929452.0,4.165986121337885,16.0,0.051844825292528735,0.1346732269435894,5032218.342414709
Вернуть ценных,82933,383447839621.0,3.06906780171946,144.0,0.09593785608106936,0.22897354255964197,4623585.78154655
Недавние однократные,23743,19883041741.0,1.0,17.0,0.027466177720965476,0.011873037304885802,837427.5256286063
Остальные,712952,1045778382466.0,2.1433041775603408,108.0,0.8247511409054364,0.6244801931918829,1466828.5978102311
